1964,cb25f39c-6333-11e6-aee1-a45e60eb67c5,5.9,"{'Drama','History'}",PG-13,"{'england','bishop','king-henry-ii'}","Becket"
1964,cb27f168-6333-11e6-94d0-a45e60eb67c5,5.5,"{'Comedy','Fantasy','Animation','Family','Science Fiction'}",G,"{'german','submarine','fish'}","The Incredible Mr. Limpet"
1964,cb1e0fe1-6333-11e6-a7fd-a45e60eb67c5,6.7,"{'Comedy','Crime'}",PG,"{'unskillfulness','suspicion-of-murder','pink-panther'}","A Shot in the Dark"
1964,cb29a0c7-6333-11e6-8b2e-a45e60eb67c5,5.7,"{'Drama','Horror'}",PG-13,"{'castle','sacrifice','prince'}","The Masque of the Red Death"
1964,cb1d738c-6333-11e6-8dd6-a45e60eb67c5,7.0,"{'Comedy','Music'}",G,"{'press-conference','culture-clash','adolescence'}","A Hard Day's Night"
1964,cb1d3694-6333-11e6-9df3-a45e60eb67c5,7.0,"{'Drama','Mystery','Thriller','Crime'}",PG,"{'clerk','philadelphia','horse-race'}","Marnie"
1964,cb1d2711-6333-11e6-8bea-a45e60eb67c5,6.9,"{'Fantasy','Comedy','Music','Family'}",G,"{'london','bank','dancing'}","Mary Poppins"
1964,cb1d65f8-6333-11e6-9ed8-a45e60eb67c5,6.8,"{'Action','Adventure','Thriller'}",PG,"{'nuclear-radiation','secret-intelligence-service','secret-organization'}","Goldfinger"
1964,cb229363-6333-11e6-97d5-a45e60eb67c5,7.1,"{'Drama','Romance','Music','Family'}",G,"{'flower-girl','musical','transformation'}","My Fair Lady"
1964,cb2ce530-6333-11e6-8b88-a45e60eb67c5,5.4,"{'Drama','Thriller'}",PG,"{'europe','german','world-war-two'}","36 Hours"
1965,cb25b102-6333-11e6-b137-a45e60eb67c5,7.1,"{'Romance','Family','Drama','Music','War','History'}",G,"{'austria','musical','music-competition'}","The Sound of Music"
1965,cb2c7e42-6333-11e6-918e-a45e60eb67c5,5.5,"{'Action','War','Thriller'}",PG-13,"{'german','nazi','rocket'}","Operation Crossbow"
1965,cb2adb97-6333-11e6-8153-a45e60eb67c5,4.9,"{'Action','Western','Adventure','War'}",PG-13,"{'prisoner-of-war','apache','mexico'}","Major Dundee"
1965,cb284ca8-6333-11e6-a8a1-a45e60eb67c5,5.6,"{'Action','Drama','Adventure','Western'}",G,"{'widower','virginia'}","Shenandoah"
1965,cb21b7c7-6333-11e6-91e9-a45e60eb67c5,6.7,"{'Action','Comedy','Adventure'}",G,"{'air-race','eiffel-tower-paris','prize'}","Those Magnificent Men in Their Flying Machines or How I Flew from London to Paris in 25 hours 11 minutes"
1965,cb233a6b-6333-11e6-8812-a45e60eb67c5,6.8,"{'Family','Drama','Adventure','Action','Comedy','Thriller'}",PG,"{'pie-fight','bering-strait-bridge','musical'}","The Great Race"
1965,cb26f38a-6333-11e6-b095-a45e60eb67c5,5.5,"{'Action','Drama','War','Thriller'}",PG,"{'submarine','atlantic-ocean','cold-war'}","The Bedford Incident"
1965,cb2e807a-6333-11e6-be56-a45e60eb67c5,4.8,"{'Drama','Romance','Adventure','War','History'}",PG,"{'warlord'}","The War Lord"
1965,cb283080-6333-11e6-a548-a45e60eb67c5,5.6,"{'Drama','Comedy','Family'}",G,"{'hostage','map','cat'}","That Darn Cat!"
1965,cb1db1a1-6333-11e6-980e-a45e60eb67c5,6.9,"{'Drama','Romance','War'}",PG-13,"{'loss-of-family','nurse','love-triangle'}","Doctor Zhivago"
1965,cb2656ab-6333-11e6-80da-a45e60eb67c5,6.9,"{'Action','Drama','Adventure','Western'}",PG-13,"{'murder','revenge','texas'}","The Sons of Katie Elder"
1965,cb1d66d1-6333-11e6-ae3d-a45e60eb67c5,6.2,"{'Action','Adventure','Thriller'}",PG,"{'paris','fighter-pilot','florida'}","Thunderball"
1966,cb28ba1c-6333-11e6-8db9-a45e60eb67c5,5.5,"{'Action','Western'}",PG-13,"{'kidnapper','rescue'}","The Professionals"
1966,cb1f73d1-6333-11e6-9ebe-a45e60eb67c5,6.2,"{'Mystery','Thriller'}",PG,"{'east-germany','cold-war'}","Torn Curtain"
1966,cb1eb582-6333-11e6-9cb5-a45e60eb67c5,6.2,"{'Science Fiction','Comedy','Adventure','Family','Crime'}",PG,"{'shark-attack','submarine','batman'}","Batman"
1966,cb1e85a8-6333-11e6-8c3c-a45e60eb67c5,6.5,"{'Science Fiction','Adventure'}",PG,"{'submarine','human-body','wound'}","Fantastic Voyage"
1966,cb2e8191-6333-11e6-92ef-a45e60eb67c5,4.8,"{'Western'}",G,"{'desert','revenge','pursuit'}","The Shooting"
1966,cb1da99e-6333-11e6-9f19-a45e60eb67c5,6.5,"{'Drama','History'}",G,"{'england','pope','death-penalty'}","A Man for All Seasons"
1967,cb1ed5ee-6333-11e6-b7a1-a45e60eb67c5,5.3,"{'Romance','Comedy'}",G,"{'hongkong','usa'}","A Countess from Hong Kong"
1967,cb1d6880-6333-11e6-b6a2-a45e60eb67c5,6.1,"{'Action','Adventure','Thriller'}",PG,"{'us-geheimdienst','japan','london'}","You Only Live Twice"
1967,cb29d20a-6333-11e6-bdce-a45e60eb67c5,7.3,"{'Drama'}",PG-13,"{'education','london','teacher'}","To Sir, with Love"
1967,cb1d2f51-6333-11e6-a46a-a45e60eb67c5,7.5,"{'Drama','Crime'}",R,"{'ambush','waitress','sheriff'}","Bonnie and Clyde"
1967,cb207ffa-6333-11e6-b0ab-a45e60eb67c5,6.8,"{'Animation','Adventure','Family'}",G,"{'affen','snake','urwald'}","The Jungle Book"
1967,cb1db128-6333-11e6-9b92-a45e60eb67c5,7.3,"{'Drama','Crime'}",PG,"{'harassment','rebel','prison'}","Cool Hand Luke"
